date,day_of_week,month,is_weekend,is_monsoon,train_no,train_name,station,station_index,total_stations,departure_hour,delay_minutes,is_bottleneck
2024-04-01,Monday,April,False,False,12951,Mumbai Rajdhani,Mumbai Central,0,6,9,2.5,False
2024-04-01,Monday,April,False,False,12951,Mumbai Rajdhani,Vadodara,1,6,9,1.8,False
2024-04-01,Monday,April,False,False,12951,Mumbai Rajdhani,Ratlam,2,6,9,5.0,False
2024-04-01,Monday,April,False,False,12951,Mumbai Rajdhani,Kota,3,6,9,16.9,True
2024-04-01,Monday,April,False,False,12951,Mumbai Rajdhani,Mathura,4,6,9,18.3,False
2024-04-01,Monday,April,False,False,12951,Mumbai Rajdhani,New Delhi,5,6,9,23.3,False
2024-04-01,Monday,April,False,False,12301,Howrah Rajdhani,Howrah,0,7,6,0.0,False
2024-04-01,Monday,April,False,False,12301,Howrah Rajdhani,Dhanbad,1,7,6,0.0,False
2024-04-01,Monday,April,False,False,12301,Howrah Rajdhani,Gaya,2,7,6,0.0,False
2024-04-01,Monday,April,False,False,12301,Howrah Rajdhani,Mughal Sarai,3,7,6,14.0,True
2024-04-01,Monday,April,False,False,12301,Howrah Rajdhani,Allahabad,4,7,6,5.4,False
2024-04-01,Monday,April,False,False,12301,Howrah Rajdhani,Kanpur,5,7,6,2.5,False
2024-04-01,Monday,April,False,False,12301,Howrah Rajdhani,New Delhi,6,7,6,0.0,False
2024-04-01,Monday,April,False,False,12627,Karnataka Express,Bangalore,0,7,14,1.6,False
2024-04-01,Monday,April,False,False,12627,Karnataka Express,Guntakal,1,7,14,0.0,False
2024-04-01,Monday,April,False,False,12627,Karnataka Express,Wadi,2,7,14,0.0,False
2024-04-01,Monday,April,False,False,12627,Karnataka Express,Solapur,3,7,14,12.9,True
2024-04-01,Monday,April,False,False,12627,Karnataka Express,Pune,4,7,14,26.9,False
2024-04-01,Monday,April,False,False,12627,Karnataka Express,Dadar,5,7,14,40.3,False
2024-04-01,Monday,April,False,False,12627,Karnataka Express,New Delhi,6,7,14,52.5,False
2024-04-01,Monday,April,False,False,12615,Grand Trunk Express,Chennai Central,0,7,13,0.0,False
2024-04-01,Monday,April,False,False,12615,Grand Trunk Express,Vijayawada,1,7,13,0.0,False
2024-04-01,Monday,April,False,False,12615,Grand Trunk Express,Warangal,2,7,13,0.0,False
2024-04-01,Monday,April,False,False,12615,Grand Trunk Express,Nagpur,3,7,13,12.5,True
2024-04-01,Monday,April,False,False,12615,Grand Trunk Express,Bhopal,4,7,13,9.8,False
2024-04-01,Monday,April,False,False,12615,Grand Trunk Express,Jhansi,5,7,13,28.9,False
2024-04-01,Monday,April,False,False,12615,Grand Trunk Express,New Delhi,6,7,13,46.1,False
2024-04-01,Monday,April,False,False,12431,Thiruvananthapuram Rajdhani,Thiruvananthapuram,0,6,13,0.0,False
2024-04-01,Monday,April,False,False,12431,Thiruvananthapuram Rajdhani,Ernakulam,1,6,13,13.9,False
2024-04-01,Monday,April,False,False,12431,Thiruvananthapuram Rajdhani,Shoranur,2,6,13,25.0,True
2024-04-01,Monday,April,False,False,12431,Thiruvananthapuram Rajdhani,Kozhikode,3,6,13,28.7,False
2024-04-01,Monday,April,False,False,12431,Thiruvananthapuram Rajdhani,Mangalore,4,6,13,29.5,False
2024-04-01,Monday,April,False,False,12431,Thiruvananthapuram Rajdhani,Mumbai Central,5,6,13,42.8,False
2024-04-02,Tuesday,April,False,False,12951,Mumbai Rajdhani,Mumbai Central,0,6,10,0.0,False
2024-04-02,Tuesday,April,False,False,12951,Mumbai Rajdhani,Vadodara,1,6,10,3.9,False
2024-04-02,Tuesday,April,False,False,12951,Mumbai Rajdhani,Ratlam,2,6,10,1.2,False
2024-04-02,Tuesday,April,False,False,12951,Mumbai Rajdhani,Kota,3,6,10,14.0,True
2024-04-02,Tuesday,April,False,False,12951,Mumbai Rajdhani,Mathura,4,6,10,9.6,False
2024-04-02,Tuesday,April,False,False,12951,Mumbai Rajdhani,New Delhi,5,6,10,11.2,False
2024-04-02,Tuesday,April,False,False,12301,Howrah Rajdhani,Howrah,0,7,9,0.0,False
2024-04-02,Tuesday,April,False,False,12301,Howrah Rajdhani,Dhanbad,1,7,9,0.0,False
2024-04-02,Tuesday,April,False,False,12301,Howrah Rajdhani,Gaya,2,7,9,3.1,False
2024-04-02,Tuesday,April,False,False,12301,Howrah Rajdhani,Mughal Sarai,3,7,9,45.1,True
2024-04-02,Tuesday,April,False,False,12301,Howrah Rajdhani,Allahabad,4,7,9,49.8,False
2024-04-02,Tuesday,April,False,False,12301,Howrah Rajdhani,Kanpur,5,7,9,48.7,False
2024-04-02,Tuesday,April,False,False,12301,Howrah Rajdhani,New Delhi,6,7,9,45.6,False
2024-04-02,Tuesday,April,False,False,12627,Karnataka Express,Bangalore,0,7,8,0.0,False
2024-04-02,Tuesday,April,False,False,12627,Karnataka Express,Guntakal,1,7,8,5.5,False
2024-04-02,Tuesday,April,False,False,12627,Karnataka Express,Wadi,2,7,8,4.6,False
2024-04-02,Tuesday,April,False,False,12627,Karnataka Express,Solapur,3,7,8,12.4,True
2024-04-02,Tuesday,April,False,False,12627,Karnataka Express,Pune,4,7,8,16.5,False
2024-04-02,Tuesday,April,False,False,12627,Karnataka Express,Dadar,5,7,8,23.2,False
2024-04-02,Tuesday,April,False,False,12627,Karnataka Express,New Delhi,6,7,8,22.9,False
2024-04-02,Tuesday,April,False,False,12615,Grand Trunk Express,Chennai Central,0,7,19,5.0,False
2024-04-02,Tuesday,April,False,False,12615,Grand Trunk Express,Vijayawada,1,7,19,25.5,False
2024-04-02,Tuesday,April,False,False,12615,Grand Trunk Express,Warangal,2,7,19,47.2,False
2024-04-02,Tuesday,April,False,False,12615,Grand Trunk Express,Nagpur,3,7,19,88.2,True
2024-04-02,Tuesday,April,False,False,12615,Grand Trunk Express,Bhopal,4,7,19,83.6,False
2024-04-02,Tuesday,April,False,False,12615,Grand Trunk Express,Jhansi,5,7,19,76.5,False
2024-04-02,Tuesday,April,False,False,12615,Grand Trunk Express,New Delhi,6,7,19,81.8,False
2024-04-02,Tuesday,April,False,False,12431,Thiruvananthapuram Rajdhani,Thiruvananthapuram,0,6,7,4.5,False
2024-04-02,Tuesday,April,False,False,12431,Thiruvananthapuram Rajdhani,Ernakulam,1,6,7,4.6,False
2024-04-02,Tuesday,April,False,False,12431,Thiruvananthapuram Rajdhani,Shoranur,2,6,7,37.2,True
2024-04-02,Tuesday,April,False,False,12431,Thiruvananthapuram Rajdhani,Kozhikode,3,6,7,29.7,False
2024-04-02,Tuesday,April,False,False,12431,Thiruvananthapuram Rajdhani,Mangalore,4,6,7,25.6,False
2024-04-02,Tuesday,April,False,False,12431,Thiruvananthapuram Rajdhani,Mumbai Central,5,6,7,23.1,False
2024-04-03,Wednesday,April,False,False,12951,Mumbai Rajdhani,Mumbai Central,0,6,6,4.6,False
2024-04-03,Wednesday,April,False,False,12951,Mumbai Rajdhani,Vadodara,1,6,6,6.2,False
2024-04-03,Wednesday,April,False,False,12951,Mumbai Rajdhani,Ratlam,2,6,6,3.6,False
2024-04-03,Wednesday,April,False,False,12951,Mumbai Rajdhani,Kota,3,6,6,61.9,True
2024-04-03,Wednesday,April,False,False,12951,Mumbai Rajdhani,Mathura,4,6,6,68.8,False
2024-04-03,Wednesday,April,False,False,12951,Mumbai Rajdhani,New Delhi,5,6,6,69.6,False
2024-04-03,Wednesday,April,False,False,12301,Howrah Rajdhani,Howrah,0,7,8,0.0,False
2024-04-03,Wednesday,April,False,False,12301,Howrah Rajdhani,Dhanbad,1,7,8,3.4,False
2024-04-03,Wednesday,April,False,False,12301,Howrah Rajdhani,Gaya,2,7,8,2.1,False
2024-04-03,Wednesday,April,False,False,12301,Howrah Rajdhani,Mughal Sarai,3,7,8,14.2,True
2024-04-03,Wednesday,April,False,False,12301,Howrah Rajdhani,Allahabad,4,7,8,15.7,False
2024-04-03,Wednesday,April,False,False,12301,Howrah Rajdhani,Kanpur,5,7,8,17.0,False
2024-04-03,Wednesday,April,False,False,12301,Howrah Rajdhani,New Delhi,6,7,8,17.0,False
2024-04-03,Wednesday,April,False,False,12627,Karnataka Express,Bangalore,0,7,12,0.0,False
2024-04-03,Wednesday,April,False,False,12627,Karnataka Express,Guntakal,1,7,12,0.0,False
2024-04-03,Wednesday,April,False,False,12627,Karnataka Express,Wadi,2,7,12,0.0,False
2024-04-03,Wednesday,April,False,False,12627,Karnataka Express,Solapur,3,7,12,69.9,True
